,name,price,pricing_changes,pricing_percentage_changes,sector,industry,market_cap,share_volume,earnings_per_share,annualized_dividend,dividend_pay_date,symbol_yield,beta
317,Alcon Inc. Ordinary Shares,73.01,-1.07,(-1.44%),Health Care,Ophthalmic Goods,"35,781,250,483","536,719",$0.76,N/A,N/A,N/A,0.7
318,Phillips 66 Common Stock,80.77,-0.44,(-0.54%),Energy,Integrated oil Companies,"35,414,542,140","7,198,196",$2.96,$3.68,"Mar 1, 2022",4.64%,1.52
319,Barclays PLC Common Stock,8.42,-0.03,(-0.36%),Finance,Commercial Banks,"35,276,721,606","5,050,471",$2.08,$0.423,"Apr 5, 2022",4.89%,1.5
320,"Old Dominion Freight Line, Inc. Common Stock",306.38,-3.36,(-1.08%),Transportation,Trucking Freight/Courier Services,"35,191,971,963","619,717",$8.89,$1.20,"Mar 16, 2022",0.39%,1.06
321,"ING Group, N.V. Common Stock",9.35,-0.54,(-5.46%),Finance,Commercial Banks,"35,190,167,368","13,911,018",$1.47,$0.47,"Oct 19, 2021",4.52%,1.87
322,Ferrari N.V. Common Shares,190.45,-2.51,(-1.3%),Capital Goods,Auto Manufacturing,"34,934,183,699","459,482",$5.32,N/A,N/A,N/A,0.97
323,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,5.39,-0.12,(-2.18%),Finance,Commercial Banks,"34,896,801,235","3,344,109",$0.79,$0.423,"Apr 25, 2022",1.35%,1.5
324,Parker-Hannifin Corporation Common Stock,270.98,-4.65,(-1.69%),Capital Goods,Office Equipment/Supplies/Services,"34,814,869,261","1,002,629",$13.85,$4.12,"Mar 4, 2022",1.48%,1.67
325,ResMed Inc. Common Stock,238.07,-4.55,(-1.88%),Health Care,Medical/Dental Instruments,"34,813,986,469","406,210",$3.55,$1.68,"Mar 17, 2022",0.69%,0.34
326,Trane Technologies plc,148.83,-0.02,(-0.01%),Capital Goods,Auto Parts:O.E.M.,"34,757,474,084","1,207,982",$5.88,$2.68,"Mar 31, 2022",1.78%,1.3
327,SBA Communications Corporation Class A Common Stock,320.88,-7.90,(-2.4%),Consumer Services,Real Estate Investment Trusts,"34,629,253,441","670,380",$2.13,$2.84,"Mar 25, 2022",0.87%,0.41
328,Transdigm Group Incorporated Common Stock,623.99,-9.69,(-1.53%),Capital Goods,Military/Government/Technical,"34,607,783,923","292,551",$12.78,N/A,N/A,N/A,1.48
329,"Waste Connections, Inc. Common Shares",134.22,+0.54,(+0.4%),Public Utilities,Power Generation,"34,539,179,022","1,105,838",$2.37,$0.92,"Mar 16, 2022",0.7%,0.74
330,Electronic Arts Inc. Common Stock,122.33,-1.35,(-1.09%),Technology,Computer Software: Prepackaged Software,"34,401,920,044","1,195,222",$2.22,$0.68,"Mar 23, 2022",0.54%,0.84
331,Allstate Corporation,123.38,+0.47,(+0.38%),Finance,Property-Casualty Insurers,"34,342,336,883","1,475,911",$5.10,$3.40,"Apr 1, 2022",2.78%,0.79
332,"Rivian Automotive, Inc. Class A Common Stock",38.05,-3.11,(-7.56%),Capital Goods,Auto Manufacturing,"34,257,075,472","42,597,909",N/A,N/A,N/A,N/A,1.21
333,STMicroelectronics N.V. Common Stock,37.71,-1.11,(-2.86%),Technology,Semiconductors,"34,113,103,978","3,271,677",$2.16,$0.204,"Mar 29, 2022",0.51%,1.45
334,LyondellBasell Industries NV Ordinary Shares Class A,103.43,+3.69,(+3.7%),Basic Industries,Industrial Specialties,"33,926,031,170","2,993,505",$16.74,$4.52,"Mar 14, 2022",4.59%,1.37
335,MPLX LP Common Units Representing Limited Partner Interests,33.36,-0.64,(-1.88%),Energy,Oil & Gas Production,"33,847,979,205","1,726,974",$2.86,$2.82,"Feb 14, 2022",8.52%,1.71
336,"Chunghwa Telecom Co., Ltd.",43.47,-0.30,(-0.69%),Public Utilities,Telecommunications Equipment,"33,721,622,109","158,358",$1.64,$1.201,"Oct 5, 2021",2.77%,0.06
337,"AvalonBay Communities, Inc. Common Stock",241.12,-2.90,(-1.19%),Consumer Services,Real Estate Investment Trusts,"33,697,119,424","449,982",$7.19,$6.36,"Apr 15, 2022",2.6%,0.93
338,Halliburton Company Common Stock,37.41,-0.54,(-1.42%),Energy,Oil & Gas Production,"33,615,560,451","17,629,158",$1.63,$0.48,"Mar 23, 2022",1.38%,2.43
339,"Yum! Brands, Inc.",116.26,+0.44,(+0.38%),Consumer Services,Restaurants,"33,596,928,967","2,080,493",$5.22,$2.28,"Mar 11, 2022",1.97%,1.12
340,Dollar Tree Inc. Common Stock,147.02,-1.73,(-1.16%),Consumer Services,Department/Specialty Retail Stores,"33,073,039,794","1,682,512",$5.80,N/A,N/A,N/A,0.73
342,"Mizuho Financial Group, Inc. Sponosred ADR",2.6,-0.01,(-0.38%),Finance,Major Banks,"32,950,092,084","719,019",$0.43,$0.107,"Dec 17, 2021",4.07%,0.52
344,BioNTech SE American Depositary Share,135.64,-1.63,(-1.19%),Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"32,894,999,776","1,074,583",$34.70,N/A,N/A,N/A,-0.71
345,Equity Residential Common Shares of Beneficial Interest,86.8,-0.70,(-0.8%),Consumer Services,Real Estate Investment Trusts,"32,629,616,606","931,002",$3.54,$2.41,"Jan 14, 2022",2.75%,0.79
346,Banco Bradesco Sa American Depositary Shares,3.345,-0.099,(-2.87%),Finance,Commercial Banks,"32,411,493,143","22,063",$0.41,$0.029,"Apr 8, 2022",0.81%,0.99
347,Cenovus Energy Inc Common Stock,16.13,+0.17,(+1.07%),N/A,N/A,"32,183,930,920","15,876,397",$0.22,$0.11,"Mar 31, 2022",0.69%,2.79
348,Arthur J. Gallagher & Co. Common Stock,153.62,-1.42,(-0.92%),Finance,Specialty Insurers,"32,036,222,040","624,478",$4.41,$2.04,"Mar 18, 2022",1.31%,0.7
349,"PT Telekomunikasi Indonesia, Tbk",32.19,+0.53,(+1.67%),Public Utilities,Telecommunications Equipment,"31,888,127,524","201,916",$1.62,$0.672,"Jul 13, 2021",2.14%,0.71
350,"Tyson Foods, Inc. Common Stock",87.64,-2.31,(-2.57%),Consumer Non-Durables,Meat/Poultry/Fish,"31,766,500,433","3,017,046",$10.13,$1.84,"Jun 15, 2022",2.03%,0.78
351,CRH PLC American Depositary Shares,41.45,+0.99,(+2.45%),Capital Goods,Building Materials,"31,728,771,748","802,567",N/A,$1.96,"May 12, 2022",1.07%,1.08
352,"Consolidated Edison, Inc. Common Stock",89.34,-0.13,(-0.15%),Public Utilities,Power Generation,"31,634,436,515","1,405,856",$3.85,$3.16,"Mar 15, 2022",3.58%,0.2
353,"Align Technology, Inc. Common Stock",400.67,-29.42,(-6.84%),Health Care,Industrial Specialties,"31,570,990,581","957,114",$9.70,N/A,N/A,N/A,1.64
354,Ferguson plc Ordinary Shares,144.57,+1.00,(+0.7%),Consumer Durables,Industrial Machinery/Components,"31,535,573,395","509,619",N/A,$3.33,"Dec 10, 2021",2.23%,1.55
355,SVB Financial Group Common Stock,530.59,-8.92,(-1.65%),Finance,Major Banks,"31,203,776,113","613,052",$31.58,N/A,N/A,N/A,1.86
356,Energy Transfer LP Common Units,10.1,-0.21,(-2.04%),Public Utilities,Natural Gas Distribution,"31,136,568,002","19,338,090",$1.90,$0.70,"Feb 18, 2022",6.88%,2.07
357,"T. Rowe Price Group, Inc. Common Stock",136.33,-2.25,(-1.62%),Finance,Investment Managers,"31,095,958,226","1,238,063",$13.12,$4.80,"Mar 30, 2022",3.11%,1.28
358,GlobalFoundries Inc. Ordinary Shares,58.46,-0.42,(-0.71%),N/A,N/A,"31,091,702,194","1,138,974",N/A,N/A,N/A,N/A,0.67
359,Fastenal Company Common Stock,53.97,-0.50,(-0.92%),N/A,N/A,"31,062,629,735","2,446,355",$1.61,$1.24,"Mar 2, 2022",2.26%,1.3
360,Sun Life Financial Inc. Common Stock,52.94,+0.36,(+0.68%),Technology,Advertising,"31,025,317,380","696,380",$5.33,$2.083,"Mar 31, 2022",3.98%,1.04
361,"Ross Stores, Inc. Common Stock",87.76,-1.84,(-2.05%),Consumer Services,Clothing/Shoe/Accessory Stores,"31,008,217,544","2,228,206",$4.86,$1.24,"Mar 31, 2022",1.29%,1.08
362,KKR & Co. Inc. Common Stock,52.29,-1.16,(-2.17%),Finance,Investment Managers,"30,910,993,489","3,386,029",$7.33,$0.58,"Mar 4, 2022",1.06%,1.49
363,Corning Incorporated Common Stock,36.44,-0.57,(-1.54%),Capital Goods,Industrial Machinery/Components,"30,822,755,707","4,923,812",$1.24,$1.08,"Mar 30, 2022",2.87%,0.97
364,Otis Worldwide Corporation Common Stock,72.4,-1.40,(-1.9%),N/A,N/A,"30,767,274,574","3,290,834",$2.89,$0.96,"Mar 10, 2022",1.28%,0.97
366,Nu Holdings Ltd. Class A Ordinary Shares,6.54,-0.51,(-7.23%),N/A,N/A,"30,329,536,733","14,452,453",N/A,N/A,N/A,N/A,11.31
368,Imperial Oil Limited Common Stock,45.28,+0.84,(+1.89%),N/A,N/A,"30,298,827,370","512,534",$2.79,$1.074,"Apr 1, 2022",2.39%,1.68
369,Orange,11.38,-0.21,(-1.81%),Public Utilities,Telecommunications Equipment,"30,248,348,387","847,927",N/A,$0.514,"Dec 30, 2021",4.44%,0.25
370,Franco-Nevada Corporation,158.05,-2.38,(-1.48%),N/A,N/A,"30,240,400,656","955,350",$3.85,$1.28,"Mar 31, 2022",0.75%,0.63
371,AmerisourceBergen Corporation Common Stock,144.56,-1.61,(-1.1%),Health Care,Other Pharmaceuticals,"30,232,906,736","1,041,283",$7.71,$1.84,"Feb 28, 2022",1.26%,0.46
372,NatWest Group plc American Depositary Shares,5.38,-0.04,(-0.74%),Finance,Commercial Banks,"30,219,463,411","1,437,500",$0.70,$0.398,"Mar 18, 2022",2.91%,1.32
373,Fifth Third Bancorp Common Stock,44.0,-0.48,(-1.08%),Finance,Major Banks,"30,169,593,960","6,013,327",$3.74,$1.20,"Jan 18, 2022",2.68%,1.33
374,"Alexandria Real Estate Equities, Inc. Common Stock",188.43,-2.95,(-1.54%),Consumer Services,Real Estate Investment Trusts,"30,138,121,860","927,991",$3.79,$4.60,"Apr 15, 2022",2.39%,0.82
375,"Ameriprise Financial, Inc. Common Stock",271.87,-0.67,(-0.25%),Finance,Investment Managers,"30,109,859,417","451,387",$23.07,$4.52,"Feb 28, 2022",1.65%,1.52
376,"International Flavors & Fragrances, Inc. Common Stock",118.14,-3.09,(-2.55%),Basic Industries,Major Chemicals,"30,088,450,340","1,331,612",$1.01,$3.16,"Apr 6, 2022",2.62%,1.04
377,State Street Corporation Common Stock,82.09,-0.83,(-1%),Finance,Investment Managers,"30,050,467,859","1,531,681",$7.18,$2.28,"Apr 11, 2022",2.73%,1.55
378,"Mettler-Toledo International, Inc. Common Stock",1311.22,-27.12,(-2.03%),Health Care,Medical Specialities,"29,903,178,500","121,798",$32.82,N/A,N/A,N/A,1.09
379,"Rockwell Automation, Inc. Common Stock",257.01,-5.54,(-2.11%),Capital Goods,Industrial Machinery/Components,"29,863,565,829","700,913",$8.58,$4.48,"Mar 10, 2022",1.65%,1.44
380,Discover Financial Services Common Stock,104.47,-0.33,(-0.31%),Finance,Finance: Consumer Services,"29,763,888,181","2,274,272",$17.77,$2.00,"Mar 3, 2022",1.87%,1.61
381,PACCAR Inc. Common Stock,85.56,-0.59,(-0.68%),Capital Goods,Auto Manufacturing,"29,738,259,892","1,367,450",$5.31,$1.36,"Mar 1, 2022",1.56%,0.94
382,"WEC Energy Group, Inc. Common Stock",93.86,+0.30,(+0.32%),Public Utilities,Power Generation,"29,606,685,080","1,270,262",$4.11,$2.91,"Mar 1, 2022",3.14%,0.27
383,Weyerhaeuser Company Common Stock,39.62,-0.48,(-1.2%),Consumer Services,Real Estate Investment Trusts,"29,569,634,220","4,381,227",$3.47,$0.72,"Mar 18, 2022",1.85%,1.69
384,"ONEOK, Inc. Common Stock",66.06,-1.45,(-2.15%),Public Utilities,Oil & Gas Production,"29,476,849,607","3,287,462",$3.36,$3.74,"Feb 14, 2022",5.61%,1.8
385,eBay Inc. Common Stock,50.06,-2.30,(-4.39%),Consumer Services,Catalog/Specialty Distribution,"29,411,697,485","9,217,656",$20.25,$0.88,"Mar 18, 2022",1.66%,1.15
386,"Verisk Analytics, Inc. Common Stock",182.04,-2.80,(-1.51%),Miscellaneous,Business Services,"29,359,946,762","1,371,564",$4.08,$1.24,"Mar 31, 2022",0.62%,0.85
387,"Zoom Video Communications, Inc. Class A Common Stock",98.12,-5.21,(-5.04%),Technology,Computer Software: Prepackaged Software,"29,350,043,250","6,454,629",$4.49,N/A,N/A,N/A,-0.91
388,Hess Corporation Common Stock,94.61,-3.51,(-3.58%),Energy,Oil & Gas Production,"29,305,023,931","2,668,734",$1.80,$1.50,"Mar 30, 2022",1.03%,1.77
389,"AMETEK, Inc.",126.34,-1.84,(-1.44%),Consumer Durables,Metal Fabrications,"29,273,090,822","1,126,879",$4.25,$0.88,"Mar 31, 2022",0.67%,1.31
390,CBRE Group Inc Common Stock Class A,87.57,-0.31,(-0.35%),Finance,Real Estate,"29,101,488,243","1,441,906",$5.40,N/A,N/A,N/A,1.4
391,Biogen Inc. Common Stock,197.67,-0.97,(-0.49%),Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"29,050,135,292","787,917",$10.40,N/A,N/A,N/A,0.45
393,FIRST REPUBLIC BANK Common Stock,160.39,-3.40,(-2.08%),Finance,Commercial Banks,"28,806,482,667","1,021,543",$7.67,$0.88,"Feb 10, 2022",0.53%,1.15
395,Aptiv PLC Ordinary Shares,106.15,+0.47,(+0.44%),Capital Goods,Auto Parts:O.E.M.,"28,715,075,961","2,859,543",$1.95,N/A,N/A,N/A,2.1
396,"D.R. Horton, Inc. Common Stock",80.96,-1.44,(-1.75%),N/A,N/A,"28,688,837,038","1,657,469",$12.46,$0.90,"Feb 25, 2022",1.09%,1.68
398,"PPG Industries, Inc. Common Stock",120.23,-0.96,(-0.79%),Basic Industries,Paints/Coatings,"28,374,153,999","1,589,460",$6.01,$2.36,"Mar 11, 2022",1.93%,1.23
399,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,78.78,+2.18,(+2.85%),Consumer Non-Durables,Beverages (Production/Distribution),"28,189,266,555","460,990",$4.00,$1.096,"Nov 15, 2021",1.41%,1.03
402,Agnico Eagle Mines Limited Common Stock,61.4,-0.67,(-1.08%),N/A,N/A,"27,924,720,000","4,266,622",$2.21,$1.60,"Mar 15, 2022",2.62%,0.83
404,Cummins Inc. Common Stock,195.29,-1.91,(-0.97%),Capital Goods,Construction/Ag Equipment/Trucks,"27,814,517,078","1,186,328",$14.59,$5.80,"Mar 3, 2022",2.92%,1.04
405,"American Water Works Company, Inc. Common Stock",152.08,-1.05,(-0.69%),Public Utilities,Water Supply,"27,636,736,631","964,547",$6.95,$2.41,"Mar 1, 2022",1.57%,0.4
406,"The Trade Desk, Inc. Class A Common Stock",56.8,-6.23,(-9.88%),Technology,EDP Services,"27,538,490,544","7,767,116",$0.28,N/A,N/A,N/A,2.21
407,Hormel Foods Corporation Common Stock,50.48,Unchanged,,Consumer Non-Durables,Meat/Poultry/Fish,"27,511,479,353","1,599,770",$1.69,$1.04,"Feb 15, 2022",2.08%,0.1
408,Ball Corporation Common Stock,85.56,-1.50,(-1.72%),Consumer Durables,Containers/Packaging,"27,507,175,258","973,614",$2.65,$0.80,"Mar 15, 2022",0.93%,0.5
409,"Copart, Inc.",115.52,-0.27,(-0.23%),Consumer Services,Other Specialty Stores,"27,435,688,443","1,867,003",$4.52,N/A,N/A,N/A,1.13
410,Cerner Corporation Common Stock,93.4,+0.40,(+0.43%),Health Care,Managed Health Care,"27,398,338,006","2,236,401",$1.85,$1.08,"Jan 11, 2022",1.16%,0.82
411,"Equifax, Inc. Common Stock",223.9,-2.31,(-1.02%),Technology,Advertising,"27,334,742,612","958,486",$6.03,$1.56,"Mar 15, 2022",0.69%,1.49
412,"Rogers Communication, Inc. Common Stock",53.88,+0.14,(+0.26%),N/A,N/A,"27,205,376,134","351,485",$2.42,$1.578,"Apr 1, 2022",2.95%,0.45
413,Nokia Corporation Sponsored American Depositary Shares,4.81,-0.04,(-0.82%),Technology,Radio And Television Broadcasting And Communications Equipment,"27,176,306,200","24,625,733",$0.34,N/A,N/A,N/A,0.8
414,Arcelor Mittal NY Registry Shares NEW,29.82,-0.20,(-0.67%),Basic Industries,Steel/Iron Ore,"27,120,788,785","5,447,913",$13.47,$0.255,"Jun 15, 2021",0.85%,2.01
415,"Nasdaq, Inc. Common Stock",164.87,-1.61,(-0.97%),Finance,Investment Bankers/Brokers/Service,"27,106,625,235","706,201",$7.05,$2.16,"Mar 25, 2022",1.28%,0.9
416,"West Pharmaceutical Services, Inc. Common Stock",363.21,-8.26,(-2.22%),Health Care,Medical/Dental Instruments,"26,979,815,941","296,797",$8.70,$0.72,"May 4, 2022",0.19%,1.06
417,Koninklijke Philips N.V. NY Registry Shares,30.85,-0.17,(-0.55%),Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,"26,845,128,428","2,285,913",$4.13,$0.819,"Jun 8, 2022",2.78%,0.88
418,Veeva Systems Inc. Class A Common Stock,174.44,-9.91,(-5.38%),Health Care,Managed Health Care,"26,822,625,827","958,366",$2.63,N/A,N/A,N/A,0.79
420,Keysight Technologies Inc. Common Stock,145.87,-0.62,(-0.42%),Capital Goods,Industrial Machinery/Components,"26,544,701,710","870,780",$5.11,N/A,N/A,N/A,1.07
422,Extra Space Storage Inc Common Stock,196.51,+0.23,(+0.12%),Consumer Services,Real Estate Investment Trusts,"26,362,315,635","632,048",$6.18,$6.00,"Mar 31, 2022",2.53%,0.4
423,"Cheniere Energy Partners, LP Cheniere Energy Partners, LP Common Units",53.91,-2.96,(-5.2%),Public Utilities,Oil/Gas Transmission,"26,093,902,201","505,980",$2.99,$2.80,"Feb 14, 2022",5.11%,0.85
424,Willis Towers Watson Public Limited Company Ordinary Shares,220.73,-3.79,(-1.69%),Finance,Specialty Insurers,"25,989,991,365","1,219,772",$33.22,$3.28,"Apr 15, 2022",1.42%,0.76
425,"McCormick & Company, Incorporated Common Stock",96.52,-1.42,(-1.45%),Consumer Non-Durables,Farming/Seeds/Milling,"25,831,709,952","916,226",$2.80,$1.48,"Jan 10, 2022",1.51%,0.48
426,"ANSYS, Inc. Common Stock",293.62,-9.94,(-3.27%),Technology,Computer Software: Prepackaged Software,"25,612,469,957","691,956",$5.15,N/A,N/A,N/A,1.27
427,Tractor Supply Company Common Stock,226.52,-2.43,(-1.06%),Consumer Services,Other Specialty Stores,"25,545,192,495","912,621",$8.62,$3.68,"Mar 8, 2022",1.64%,0.96
428,Lennar Corporation Class A Common Stock,86.57,-1.52,(-1.73%),Consumer Services,Building operators,"25,476,234,530","1,496,873",$14.28,$1.50,"Feb 10, 2022",1.71%,1.56
430,"Match Group, Inc. Common Stock",88.45,-6.46,(-6.81%),N/A,N/A,"25,221,366,074","3,162,002",$0.86,N/A,N/A,N/A,0.57
431,FirstEnergy Corp. Common Stock,43.97,-0.06,(-0.14%),Public Utilities,Electric Utilities: Central,"25,078,042,784","3,358,523",$2.35,$1.56,"Mar 1, 2022",3.54%,0.34
432,"Zimmer Biomet Holdings, Inc. Common Stock",118.82,-0.52,(-0.44%),Health Care,Industrial Specialties,"24,854,464,015","2,031,288",$1.90,$0.96,"Apr 29, 2022",0.82%,1.2
433,Laboratory Corporation of America Holdings Common Stock,265.49,-0.73,(-0.27%),Health Care,Medical Specialities,"24,796,766,000","620,443",$24.38,N/A,N/A,N/A,1.06
434,Telefonica SA Common Stock,4.29,-0.06,(-1.38%),Public Utilities,Telecommunications Equipment,"24,792,116,006","1,705,203",$1.72,$0.221,"Dec 29, 2021",5.07%,0.66
435,Edison International Common Stock,64.79,-0.97,(-1.48%),Public Utilities,Electric Utilities: Central,"24,665,355,067","1,085,223",$1.99,$2.80,"Apr 30, 2022",4.28%,0.66
436,DTE Energy Company Common Stock,126.97,-0.33,(-0.26%),Public Utilities,Electric Utilities: Central,"24,599,915,780","1,302,674",$4.67,$3.54,"Apr 15, 2022",2.83%,0.63
437,Sirius XM Holdings Inc. Common Stock,6.19,-0.03,(-0.48%),Consumer Services,Broadcasting,19.44,"21,245,836","Feb 10, 2022","Feb 25, 2022",0.96,"Feb 10, 2022",$0.25
439,"Canon, Inc. American Depositary Shares",23.12,+0.06,(+0.26%),Miscellaneous,Industrial Machinery/Components,"24,178,243,068","231,221",$1.82,$0.801,"Apr 7, 2022",3.49%,0.36
440,ON Semiconductor Corporation Common Stock,55.89,-1.74,(-3.02%),Technology,Semiconductors,"24,172,303,272","4,233,179",$2.28,N/A,N/A,N/A,1.72
442,"W.W. Grainger, Inc. Common Stock",472.26,-12.49,(-2.58%),Consumer Non-Durables,Telecommunications Equipment,"24,136,215,909","283,345",$19.84,$6.48,"Mar 1, 2022",1.33%,1.25
444,"Mid-America Apartment Communities, Inc. Common Stock",208.47,-2.70,(-1.28%),Consumer Services,Real Estate Investment Trusts,"24,045,143,899","456,603",$4.61,$4.35,"Jan 31, 2022",2.05%,0.74
445,Invitation Homes Inc. Common Stock,39.45,+0.04,(+0.1%),Consumer Services,Real Estate Investment Trusts,"23,971,878,067","5,340,460",$0.45,$0.88,"Feb 28, 2022",2.24%,0.93
446,"Stanley Black & Decker, Inc. Common Stock",146.46,-3.14,(-2.1%),Capital Goods,Diversified Manufacture,"23,933,246,972","1,797,670",$10.34,$3.16,"Mar 22, 2022",2.07%,1.4
448,Southwest Airlines Company Common Stock,40.24,-0.79,(-1.93%),Transportation,Air Freight/Delivery Services,"23,835,837,171","8,790,508",$1.60,N/A,N/A,N/A,1.01
449,"United Rentals, Inc. Common Stock",322.75,+1.50,(+0.47%),Technology,Diversified Commercial Services,"23,374,168,871","462,855",$19.06,N/A,N/A,N/A,1.83
450,"Ventas, Inc. Common Stock",58.5,-0.36,(-0.61%),Consumer Services,Real Estate Investment Trusts,"23,370,523,722","2,857,897",$0.14,$1.80,"Jan 19, 2022",3.11%,1.14
451,Vulcan Materials Company,175.32,-0.06,(-0.03%),N/A,N/A,"23,281,141,653","610,947",$5.01,$1.60,"Mar 14, 2022",0.91%,0.7
452,Liberty Broadband Corporation Class C Common Stock,138.26,-0.40,(-0.29%),Consumer Services,Telecommunications Equipment,"23,210,091,254","797,992",$3.97,N/A,N/A,N/A,0.97
454,"Martin Marietta Materials, Inc. Common Stock",370.88,-0.09,(-0.02%),Capital Goods,Building Materials,"23,140,906,652","263,286",$11.22,$2.44,"Mar 31, 2022",0.65%,0.78
456,Paramount Global Class A Common Stock,35.61,-0.70,(-1.93%),Consumer Services,Movies/Entertainment,"23,096,100,241","68,541",$6.91,$0.96,"Apr 1, 2022",2.61%,1.32
457,"Church & Dwight Company, Inc. Common Stock",95.15,-0.77,(-0.8%),Consumer Non-Durables,Package Goods/Cosmetics,"23,092,110,402","896,194",$3.31,$1.05,"Mar 1, 2022",1.08%,0.43
458,Horizon Therapeutics Public Limited Company Ordinary Shares,100.76,-0.36,(-0.36%),Health Care,Biotechnology: Pharmaceutical Preparations,"23,090,875,888","1,548,856",$2.23,N/A,N/A,N/A,1.11
460,"Gartner, Inc. Common Stock",279.83,-1.26,(-0.45%),Finance,Diversified Commercial Services,"23,026,483,702","535,763",$9.23,N/A,N/A,N/A,1.58
461,"Diamondback Energy, Inc. Commmon Stock",129.67,-4.40,(-3.28%),Energy,Oil & Gas Production,"23,005,399,030","2,354,707",$12.14,$2.40,"Mar 11, 2022",1.85%,2.32
462,CDW Corporation Common Stock,170.0,-0.12,(-0.07%),Technology,EDP Services,"22,940,535,760","751,451",$7.04,$2.00,"Mar 10, 2022",1.17%,1.12
463,"Enphase Energy, Inc. Common Stock",171.07,-7.65,(-4.28%),Capital Goods,Electrical Products,"22,912,358,644","2,771,499",$1.02,N/A,N/A,N/A,1.27
465,Mosaic Company,61.92,-0.27,(-0.43%),Basic Industries,Agricultural Chemicals,"22,805,710,308","13,855,194",$4.28,$0.45,"Mar 17, 2022",0.78%,1.59
466,"Best Buy Co., Inc. Common Stock",94.59,-4.07,(-4.13%),Consumer Services,Consumer Electronics/Video Chains,"22,754,655,342","3,159,064",$9.84,$3.52,"Apr 14, 2022",2.75%,1.52
467,Liberty Broadband Corporation Class A Common Stock,135.28,+0.07,(+0.05%),Consumer Services,Telecommunications Equipment,"22,709,830,355","185,229",$3.97,N/A,N/A,N/A,1.02
468,Ameren Corporation Common Stock,87.49,-0.06,(-0.07%),Public Utilities,Power Generation,"22,548,341,265","933,131",$3.84,$2.36,"Mar 31, 2022",2.72%,0.34
469,"VeriSign, Inc. Common Stock",204.16,-4.12,(-1.98%),Technology,EDP Services,"22,491,784,142","438,066",$7.01,N/A,N/A,N/A,0.91
470,Fortis Inc. Common Shares,47.32,+0.08,(+0.17%),Public Utilities,Electric Utilities: Central,"22,472,268,000","570,981",$2.06,$1.68,"Jun 1, 2022",3.59%,0.32
471,Teck Resources Ltd Ordinary Shares,41.86,-0.42,(-0.99%),N/A,N/A,"22,382,542,000","7,465,585",$4.21,$0.394,"Mar 31, 2022",0.39%,1.17
472,United Microelectronics Corporation,8.99,-0.15,(-1.64%),Technology,Semiconductors,"22,256,089,122","8,520,534",$0.83,$0.216,"Aug 20, 2021",2.33%,1.03
473,M&T Bank Corporation Common Stock,172.22,-1.68,(-0.97%),Finance,Major Banks,"22,222,318,834","1,100,854",$13.80,$4.80,"Mar 31, 2022",2.77%,0.95
474,"Hartford Financial Services Group, Inc.",66.95,+0.09,(+0.13%),Finance,Property-Casualty Insurers,"22,203,755,670","2,391,649",$6.64,$1.54,"Apr 4, 2022",2.27%,1.02
476,Fox Corporation Class A Common Stock,39.33,-0.46,(-1.16%),Consumer Services,Broadcasting,"22,138,959,809","3,444,564",$2.45,$0.48,"Mar 30, 2022",1.17%,0.95
477,Entergy Corporation Common Stock,108.75,-0.26,(-0.24%),Public Utilities,Electric Utilities: Central,"22,079,258,243","885,505",$5.54,$4.04,"Mar 1, 2022",3.74%,0.62
478,"Essex Property Trust, Inc. Common Stock",336.02,-6.71,(-1.96%),Consumer Services,Real Estate Investment Trusts,"21,924,765,016","210,832",$7.51,$8.80,"Apr 14, 2022",2.44%,0.75
479,STERIS plc,218.76,-3.24,(-1.46%),Health Care,Industrial Specialties,"21,903,827,147","501,177",$2.89,$1.72,"Mar 24, 2022",0.75%,0.65
480,"CoStar Group, Inc. Common Stock",55.43,-0.65,(-1.16%),Finance,Real Estate,"21,894,168,433","1,430,200",$0.75,N/A,N/A,N/A,0.9
481,Northern Trust Corporation Common Stock,105.14,-0.56,(-0.53%),Finance,"Trusts, Except Educational, Religious, and Charitable","21,858,430,311","1,096,149",$7.13,$2.80,"Apr 1, 2022",2.59%,1.12
482,Dover Corporation Common Stock,150.63,-1.35,(-0.89%),Capital Goods,Industrial Machinery/Components,"21,698,945,452","773,254",$7.73,$2.00,"Mar 15, 2022",1.32%,1.41
483,Wheaton Precious Metals Corp Common Shares,48.1,-1.03,(-2.1%),N/A,N/A,"21,669,401,707","3,268,676",$1.68,$0.60,"Dec 6, 2021",1.24%,0.47
484,Albemarle Corporation Common Stock,184.76,-3.61,(-1.92%),Basic Industries,Industrial Specialties,"21,623,684,987","769,655",$1.07,$1.58,"Apr 1, 2022",0.83%,1.54
485,Hewlett Packard Enterprise Company Common Stock,16.55,+0.19,(+1.16%),Capital Goods,Telecommunications Equipment,"21,517,246,497","11,139,400",$2.78,$0.48,"Apr 8, 2022",2.93%,1.17
486,Deutsche Bank AG Common Stock,10.25,-0.49,(-4.56%),Finance,Commercial Banks,"21,473,750,000","9,061,260",$1.33,N/A,N/A,N/A,1.31
